id,Residential,Workplace,Transit,Park,Grocery,Retail,School closing,Workplace closing,Concel public events,Restrictions on gathering size,Closing public transport,Stay at home requirement,Restrictions on internal movements,International travel controls
33,-1,-3.1333333,12.3,17.6333333,-5.2666667,13.6333333,54.44444444,80.55555556,62.5,85.41666667,75,50,66.66666667,75
34,4.4516129,-4.5806452,7.3548387,23.9354839,-0.9354839,17.1935484,33.33333333,66.66666667,0,75,75,50,25,75
35,7.6333333,-5.3666667,6.5666667,24.2666667,-0.6,15,33.33333333,58.88888889,23.33333333,63.33333333,5,50,1.666666667,75
36,5.1612903,-9.8709677,5.2580645,18.2903226,-5.9032258,13.9032258,80.10752688,50,50,62.5,0,50,0,88.70967742
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-1.4666667,-5.0666667,20.2666667,-0.1333333,1,0.6,0,0,0,0,0,0,0,0
39,-6.3548387,7.3548387,35.0322581,14.5806452,10.1290323,18.6129032,80.64516129,32.25806452,60.48387097,48.38709677,0,0,0,45.96774194
40,-11.9333333,27.6666667,56.2333333,26.2,25.2333333,38.6333333,100,66.66666667,95,100,0,0,26.66666667,55.83333333
41,-9.0322581,21,45.9032258,15.1612903,15.6129032,25.5483871,100,66.66666667,100,100,0,0,0,50
42,-7.4,16.7333333,42.3,14.9333333,12.2666667,19.0666667,100,66.66666667,0,50,0,0,0,50
43,-7.2580645,16.9032258,42.2258065,15.3870968,10.3225806,15.7419355,100,53.76344086,0,50,0,0,0,50
44,-6.8064516,23.1290323,39.8709677,9.3548387,9.3225806,13.6129032,100,63.97849462,0,50,0,31.1827957,0,64.51612903
45,-6.9666667,26.6333333,40.9,10.3333333,9.7333333,15.2,46.66666667,66.66666667,0,50,0,33.33333333,0,50
46,-8.1612903,20.3548387,41.9032258,17.7741935,9.3548387,14.0322581,33.33333333,66.66666667,0,50,0,33.33333333,0,37.09677419
47,-8.1666667,16.2333333,41.3333333,15.7333333,10.7666667,14.6333333,34.44444444,66.66666667,36.66666667,50.83333333,0,34.44444444,0,37.5
48,-12.3548387,19.8709677,44.5483871,13.9032258,13.8387097,24.9354839,66.66666667,66.66666667,100,75,0,54.83870968,0,50
49,0,0,0,0,0,0,0,0,0,0,0,0,0,2.419354839
50,-1.1333333,-2.5333333,4.4,1.4,-0.3333333,0,0,0,39.65517241,0,0,0,0,75
51,-16.7741935,31.8064516,45.1612903,26.8387097,22.3225806,40.2580645,68.27956989,50,75,52.41935484,52.41935484,50,52.41935484,83.06451613
52,-34.0333333,68.9333333,84.2,53.1333333,59.2,79.8666667,100,100,100,100,100,100,100,100
53,-29.6774194,55.7419355,73.483871,53.7419355,42.4516129,76,100,96.77419355,100,100,95.16129032,63.44086022,95.16129032,100
54,-23.2333333,39.7666667,58.0333333,38.1666667,23.7666667,55.8666667,100,66.66666667,100,100,50,60,50,100
55,-22.4516129,38.1290323,58.3225806,30.0322581,22.9677419,49.7741935,100,66.66666667,100,100,50,73.65591398,50,79.83870968
56,-23,39.1935484,61.9032258,28.5806452,25.6129032,52.2580645,100,66.66666667,86.29032258,94.35483871,73.38709677,36.02150538,50,69.35483871
57,-21,35.4333333,56.4333333,25.2666667,21.5666667,47.1,100,61.11111111,75,87.5,75,16.66666667,50,50
58,-20.0322581,32.9354839,53.8064516,30.9354839,17.8709677,46.3548387,85.48387097,50,75,87.5,75,50,50,50
59,-18.8333333,31.7666667,52.5333333,28.0666667,14.5,41.2,83.33333333,50,75,87.5,75,50,50,55.83333333
60,-17.8387097,29.6774194,42.516129,9.6129032,-3.4516129,29.7096774,83.33333333,50,75,74.19354839,50.80645161,50,50,50
61,0,0,0,0,0,0,0,0,0,50,0,0,0,38.70967742
62,-6.8666667,3.4,14.4,7.5333333,10.2666667,12.2666667,0,0,39.65517241,50,0,0,0,75
63,-9.7096774,7.1612903,19.2580645,8.9032258,4.516129,13.5806452,0,0,80.64516129,50,0,0,0,75
64,-34.9,53.8666667,60.7333333,50.9,16.8333333,55.1333333,76.66666667,80,100,50,0,56.66666667,85,75
